state,district,date,sex,age,ethnicity,population
Selangor,Gombak,2020-01-01,both,overall,overall,942.4
Selangor,Klang,2020-01-01,both,overall,overall,1088.9
Selangor,Kuala Langat,2020-01-01,both,overall,overall,307.4
Selangor,Kuala Selangor,2020-01-01,both,overall,overall,281.7
Selangor,Petaling,2020-01-01,both,overall,overall,2298.1
Selangor,Sabak Bernam,2020-01-01,both,overall,overall,107.1
Selangor,Sepang,2020-01-01,both,overall,overall,325.2
Selangor,Hulu Langat,2020-01-01,both,overall,overall,1400.5
Selangor,Hulu Selangor,2020-01-01,both,overall,overall,243.0
Selangor,Gombak,2021-01-01,both,overall,overall,948.0
Selangor,Klang,2021-01-01,both,overall,overall,1078.7
Selangor,Kuala Langat,2021-01-01,both,overall,overall,312.2
Selangor,Kuala Selangor,2021-01-01,both,overall,overall,285.1
Selangor,Petaling,2021-01-01,both,overall,overall,2315.7
Selangor,Sabak Bernam,2021-01-01,both,overall,overall,107.5
Selangor,Sepang,2021-01-01,both,overall,overall,330.7
Selangor,Hulu Langat,2021-01-01,both,overall,overall,1393.3
Selangor,Hulu Selangor,2021-01-01,both,overall,overall,243.4
Selangor,Gombak,2022-01-01,both,overall,overall,950.2
Selangor,Klang,2022-01-01,both,overall,overall,1094.1
Selangor,Kuala Langat,2022-01-01,both,overall,overall,314.5
Selangor,Kuala Selangor,2022-01-01,both,overall,overall,287.6
Selangor,Petaling,2022-01-01,both,overall,overall,2304.8
Selangor,Sabak Bernam,2022-01-01,both,overall,overall,107.9
Selangor,Sepang,2022-01-01,both,overall,overall,331.5
Selangor,Hulu Langat,2022-01-01,both,overall,overall,1413.3
Selangor,Hulu Selangor,2022-01-01,both,overall,overall,246.4
Selangor,Gombak,2023-01-01,both,overall,overall,966.2
Selangor,Klang,2023-01-01,both,overall,overall,1134.0
Selangor,Kuala Langat,2023-01-01,both,overall,overall,320.7
Selangor,Kuala Selangor,2023-01-01,both,overall,overall,293.2
Selangor,Petaling,2023-01-01,both,overall,overall,2334.7
Selangor,Sabak Bernam,2023-01-01,both,overall,overall,109.2
Selangor,Sepang,2023-01-01,both,overall,overall,339.2
Selangor,Hulu Langat,2023-01-01,both,overall,overall,1460.3
Selangor,Hulu Selangor,2023-01-01,both,overall,overall,252.2
Selangor,Gombak,2024-01-01,both,overall,overall,979.9
Selangor,Klang,2024-01-01,both,overall,overall,1174.7
Selangor,Kuala Langat,2024-01-01,both,overall,overall,326.4
Selangor,Kuala Selangor,2024-01-01,both,overall,overall,298.4
Selangor,Petaling,2024-01-01,both,overall,overall,2359.7
Selangor,Sabak Bernam,2024-01-01,both,overall,overall,110.3
Selangor,Sepang,2024-01-01,both,overall,overall,347.0
Selangor,Hulu Langat,2024-01-01,both,overall,overall,1508.0
Selangor,Hulu Selangor,2024-01-01,both,overall,overall,258.3
Selangor,Gombak,2025-01-01,both,overall,overall,985.4
Selangor,Klang,2025-01-01,both,overall,overall,1183.0
Selangor,Kuala Langat,2025-01-01,both,overall,overall,329.0
Selangor,Kuala Selangor,2025-01-01,both,overall,overall,301.6
Selangor,Petaling,2025-01-01,both,overall,overall,2370.6
Selangor,Sabak Bernam,2025-01-01,both,overall,overall,110.5
Selangor,Sepang,2025-01-01,both,overall,overall,350.4
Selangor,Hulu Langat,2025-01-01,both,overall,overall,1516.6
Selangor,Hulu Selangor,2025-01-01,both,overall,overall,259.8
